	T0A	T0B	T14A	T14B
ENSG00000007174	4	4	650	737
ENSG00000007202	10689	6012	12975	13152
ENSG00000007216	0	0	0	0
ENSG00000007237	4627	2658	1829	1791
ENSG00000007255	202	100	359	286
ENSG00000007264	2	1	2	0
ENSG00000007306	0	0	0	0
ENSG00000007312	4	2	2	0
ENSG00000007314	19	8	408	403
ENSG00000007341	368	302	525	537
ENSG00000007350	0	0	10	4
ENSG00000007372	20	12	28	28
ENSG00000007376	576	214	350	243
ENSG00000007384	1390	680	1139	897
ENSG00000007392	1729	1154	1225	1267
ENSG00000007402	31	19	16	27
ENSG00000007516	4	0	18	6
ENSG00000007520	1278	571	913	674
ENSG00000007541	718	302	683	464
ENSG00000007545	662	327	495	438
ENSG00000007866	7117	3819	1320	1182
ENSG00000007908	0	0	0	0
ENSG00000007923	2826	1414	2979	2935
ENSG00000007933	69	41	198	241
ENSG00000007944	142	119	2244	2222
ENSG00000007952	4	2	5	3
ENSG00000007968	10	8	14	9
ENSG00000008018	8040	5443	7087	7135
ENSG00000008056	67	50	5	14
ENSG00000008083	1020	614	848	885
ENSG00000008086	527	354	360	375
ENSG00000008118	2	0	0	2
ENSG00000008128	52	23	45	33
ENSG00000008130	2360	1403	3796	3416
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	19	7	8	2
ENSG00000008256	5199	3270	6958	6466
ENSG00000008277	40	23	336	358
ENSG00000008282	2607	2251	3625	3706
ENSG00000008283	2896	1643	1118	1037
ENSG00000008294	7161	5173	8194	8193
ENSG00000008300	69	55	92	96
ENSG00000008311	767	438	2780	2973
ENSG00000008323	34	21	1098	992
ENSG00000008324	503	384	482	533
ENSG00000008382	216	136	198	228
ENSG00000008394	19122	13043	71704	73627
ENSG00000008405	1593	1184	836	861
ENSG00000008438	2	2	0	3
ENSG00000008441	18130	10110	11187	9780
ENSG00000008513	18508	10323	5335	5177
ENSG00000008516	12	1	4	0
ENSG00000008517	966	484	113	122
ENSG00000008710	3703	1731	3212	2331
ENSG00000008735	27	32	107	66
ENSG00000008838	3015	1524	2655	2343
ENSG00000008853	734	425	689	640
ENSG00000008869	1691	1029	2888	3052
ENSG00000008952	5198	4036	7907	8046
ENSG00000008988	32005	19790	25680	24626
ENSG00000009307	40096	26955	43114	44378
ENSG00000009335	7804	5282	8504	8287
ENSG00000009413	2729	2097	6975	7308
ENSG00000009694	4	4	104	89
ENSG00000009709	0	0	0	0
ENSG00000009724	26	25	61	83
ENSG00000009765	0	0	2	2
ENSG00000009780	417	302	484	497
ENSG00000009790	2	0	4	0
ENSG00000009830	1832	982	2078	1687
ENSG00000009844	2795	2111	2746	2748
ENSG00000009950	0	0	6581	5419
ENSG00000009954	9219	6019	7117	7534
ENSG00000010017	4820	3157	3978	4039
ENSG00000010030	46	26	14	1
ENSG00000010072	539	355	557	508
ENSG00000010165	2211	1136	2140	1848
ENSG00000010219	943	622	370	349
ENSG00000010244	7661	4318	5078	4802
ENSG00000010256	8448	4347	10912	9723
ENSG00000010270	2667	1832	1325	1328
ENSG00000010278	370	211	260	255
ENSG00000010282	0	0	0	1
ENSG00000010292	3414	1950	2028	2114
ENSG00000010295	958	503	787	699
ENSG00000010310	2	0	246	214
ENSG00000010318	93	109	220	254
ENSG00000010319	6	0	6893	6009
ENSG00000010322	4963	2560	3921	3508
ENSG00000010327	57	42	4	2
ENSG00000010361	349	214	251	252
ENSG00000010379	6	0	6	2
ENSG00000010404	2022	1393	1413	1525
ENSG00000010438	4	3	0	0
ENSG00000010539	419	243	380	398
ENSG00000010610	13	3	50	44
ENSG00000010626	285	153	177	190
ENSG00000010671	2	2	2	0
ENSG00000010704	835	496	1493	1509
ENSG00000010803	4413	2481	1823	1816
ENSG00000010810	7865	4875	3852	3680
ENSG00000010818	3713	2215	2497	2487
ENSG00000010932	430	228	863	883
ENSG00000011007	4257	2567	6853	6740
ENSG00000011009	1037	448	878	822
ENSG00000011021	2060	1137	2235	2081
ENSG00000011028	54115	27570	14001	11309
ENSG00000011052	0	0	0	0
ENSG00000011083	4	0	0	0
ENSG00000011105	585	325	726	606
ENSG00000011114	2581	1829	2325	2356
ENSG00000011132	403	231	319	263
ENSG00000011143	556	315	303	333
ENSG00000011198	1349	786	2440	2380
ENSG00000011201	17	15	40	40
ENSG00000011243	1277	711	1623	1366
ENSG00000011258	936	746	903	894
ENSG00000011260	1858	1381	1199	1240
ENSG00000011275	4849	3004	2675	2544
ENSG00000011295	1515	997	1566	1666
ENSG00000011304	11248	6612	5449	4765
ENSG00000011332	26	24	19	15
ENSG00000011347	2271	1288	99	88
ENSG00000011376	1769	1056	2768	2626
ENSG00000011405	3026	2465	5269	5634
ENSG00000011422	3255	1651	771	675
ENSG00000011426	805	617	528	551
ENSG00000011451	3168	1611	3123	2473
ENSG00000011454	5552	3395	6107	6322
ENSG00000011465	44459	27703	55441	56254
ENSG00000011478	326	147	598	564
ENSG00000011485	3572	1864	3222	2678
ENSG00000011523	1364	881	1204	1148
ENSG00000011566	1913	1441	1795	1776
ENSG00000011590	6	2	10	4
ENSG00000011600	2	0	2	0
ENSG00000011638	1678	1097	1479	1603
ENSG00000011677	0	2	0	0
ENSG00000012048	336	204	367	346
ENSG00000012061	4074	2162	2426	2205
ENSG00000012124	0	0	0	0
ENSG00000012171	77	35	120	90
ENSG00000012174	1703	1216	1498	1591
ENSG00000012211	414	176	349	324
ENSG00000012223	0	0	444	403
ENSG00000012232	2848	1661	5234	4889
ENSG00000012504	0	0	1	1
ENSG00000012660	8145	6099	65798	66145
ENSG00000012779	0	0	0	2
ENSG00000012817	3636	1966	1674	1776
ENSG00000012822	7802	4165	7461	7030
